DriverNumber,Abbreviation,Q1Time,Q2Time,Q3Time,QualiPosition,Year,RaceNumber,BestQualiTime
1,VER,0 days 00:01:32.219000,0 days 00:01:23.746000,0 days 00:01:21.299000,1.0,2022,9,81.299
14,ALO,0 days 00:01:32.277000,0 days 00:01:24.848000,0 days 00:01:21.944000,2.0,2022,9,81.944
55,SAI,0 days 00:01:32.781000,0 days 00:01:25.197000,0 days 00:01:22.096000,3.0,2022,9,82.096
44,HAM,0 days 00:01:33.841000,0 days 00:01:25.543000,0 days 00:01:22.891000,4.0,2022,9,82.891
20,MAG,0 days 00:01:32.957000,0 days 00:01:26.254000,0 days 00:01:22.960000,5.0,2022,9,82.96
47,MSC,0 days 00:01:33.707000,0 days 00:01:25.684000,0 days 00:01:23.356000,6.0,2022,9,83.356
31,OCO,0 days 00:01:33.012000,0 days 00:01:26.135000,0 days 00:01:23.529000,7.0,2022,9,83.529
63,RUS,0 days 00:01:33.160000,0 days 00:01:24.950000,0 days 00:01:23.557000,8.0,2022,9,83.557
3,RIC,0 days 00:01:33.636000,0 days 00:01:26.375000,0 days 00:01:23.749000,9.0,2022,9,83.749
24,ZHO,0 days 00:01:33.692000,0 days 00:01:26.116000,0 days 00:01:24.030000,10.0,2022,9,84.03
77,BOT,0 days 00:01:33.689000,0 days 00:01:26.788000,,11.0,2022,9,86.788
23,ALB,0 days 00:01:34.047000,0 days 00:01:26.858000,,12.0,2022,9,86.858
11,PER,0 days 00:01:33.929000,0 days 00:01:33.127000,,13.0,2022,9,93.127
4,NOR,0 days 00:01:34.066000,,,14.0,2022,9,94.066
16,LEC,0 days 00:01:33.008000,,,15.0,2022,9,93.008
10,GAS,0 days 00:01:34.492000,,,16.0,2022,9,94.492
5,VET,0 days 00:01:34.512000,,,17.0,2022,9,94.512
18,STR,0 days 00:01:35.532000,,,18.0,2022,9,95.532
6,LAT,0 days 00:01:35.660000,,,19.0,2022,9,95.66
22,TSU,0 days 00:01:36.575000,,,20.0,2022,9,96.575
55,SAI,0 days 00:01:40.190000,0 days 00:01:41.602000,0 days 00:01:40.983000,1.0,2022,10,100.983
1,VER,0 days 00:01:39.129000,0 days 00:01:40.655000,0 days 00:01:41.055000,2.0,2022,10,101.055
16,LEC,0 days 00:01:39.846000,0 days 00:01:41.247000,0 days 00:01:41.298000,3.0,2022,10,101.298
11,PER,0 days 00:01:40.521000,0 days 00:01:42.513000,0 days 00:01:41.616000,4.0,2022,10,101.616
44,HAM,0 days 00:01:40.428000,0 days 00:01:41.062000,0 days 00:01:41.995000,5.0,2022,10,101.995
4,NOR,0 days 00:01:41.515000,0 days 00:01:41.821000,0 days 00:01:42.084000,6.0,2022,10,102.084
14,ALO,0 days 00:01:41.598000,0 days 00:01:42.209000,0 days 00:01:42.116000,7.0,2022,10,102.116
63,RUS,0 days 00:01:40.028000,0 days 00:01:41.725000,0 days 00:01:42.161000,8.0,2022,10,102.161
24,ZHO,0 days 00:01:40.791000,0 days 00:01:42.640000,0 days 00:01:42.719000,9.0,2022,10,102.719
6,LAT,0 days 00:01:41.998000,0 days 00:01:43.273000,0 days 00:02:03.095000,10.0,2022,10,123.095
10,GAS,0 days 00:01:41.680000,0 days 00:01:43.702000,,11.0,2022,10,103.702
77,BOT,0 days 00:01:41.396000,0 days 00:01:44.232000,,12.0,2022,10,104.232
22,TSU,0 days 00:01:41.893000,0 days 00:01:44.311000,,13.0,2022,10,104.311
3,RIC,0 days 00:01:41.933000,0 days 00:01:44.355000,,14.0,2022,10,104.355
31,OCO,0 days 00:01:41.730000,0 days 00:01:45.190000,,15.0,2022,10,105.19
23,ALB,0 days 00:01:42.078000,,,16.0,2022,10,102.078
20,MAG,0 days 00:01:42.159000,,,17.0,2022,10,102.159
5,VET,0 days 00:01:42.666000,,,18.0,2022,10,102.666
47,MSC,0 days 00:01:42.708000,,,19.0,2022,10,102.708
18,STR,0 days 00:01:43.430000,,,20.0,2022,10,103.43
1,VER,0 days 00:01:05.852000,0 days 00:01:05.374000,0 days 00:01:04.984000,1.0,2022,11,64.984
16,LEC,0 days 00:01:05.419000,0 days 00:01:05.287000,0 days 00:01:05.013000,2.0,2022,11,65.013
55,SAI,0 days 00:01:05.660000,0 days 00:01:05.576000,0 days 00:01:05.066000,3.0,2022,11,65.066
63,RUS,0 days 00:01:06.235000,0 days 00:01:05.697000,0 days 00:01:05.431000,4.0,2022,11,65.431
31,OCO,0 days 00:01:06.468000,0 days 00:01:05.993000,0 days 00:01:05.726000,5.0,2022,11,65.726
20,MAG,0 days 00:01:06.366000,0 days 00:01:05.894000,0 days 00:01:05.879000,6.0,2022,11,65.879
47,MSC,0 days 00:01:06.405000,0 days 00:01:06.151000,0 days 00:01:06.011000,7.0,2022,11,66.011
14,ALO,0 days 00:01:06.016000,0 days 00:01:06.082000,0 days 00:01:06.103000,8.0,2022,11,66.103
44,HAM,0 days 00:01:06.079000,0 days 00:01:05.475000,0 days 00:01:13.151000,9.0,2022,11,73.151
10,GAS,0 days 00:01:06.589000,0 days 00:01:06.160000,,10.0,2022,11,66.16
23,ALB,0 days 00:01:06.516000,0 days 00:01:06.230000,,11.0,2022,11,66.23
77,BOT,0 days 00:01:06.442000,0 days 00:01:06.319000,,12.0,2022,11,66.319
11,PER,0 days 00:01:06.143000,0 days 00:01:06.458000,,13.0,2022,11,66.458
22,TSU,0 days 00:01:06.463000,0 days 00:01:06.851000,,14.0,2022,11,66.851
4,NOR,0 days 00:01:06.330000,0 days 00:01:25.847000,,15.0,2022,11,85.847
3,RIC,0 days 00:01:06.613000,,,16.0,2022,11,66.613
18,STR,0 days 00:01:06.847000,,,17.0,2022,11,66.847
24,ZHO,0 days 00:01:06.901000,,,18.0,2022,11,66.901
6,LAT,0 days 00:01:07.003000,,,19.0,2022,11,67.003
5,VET,0 days 00:01:07.083000,,,20.0,2022,11,67.083
16,LEC,0 days 00:01:31.727000,0 days 00:01:31.216000,0 days 00:01:30.872000,1.0,2022,12,90.872
1,VER,0 days 00:01:31.891000,0 days 00:01:31.990000,0 days 00:01:31.176000,2.0,2022,12,91.176
11,PER,0 days 00:01:32.354000,0 days 00:01:32.120000,0 days 00:01:31.335000,3.0,2022,12,91.335
44,HAM,0 days 00:01:33.041000,0 days 00:01:32.274000,0 days 00:01:31.765000,4.0,2022,12,91.765
4,NOR,0 days 00:01:32.672000,0 days 00:01:32.777000,0 days 00:01:32.032000,5.0,2022,12,92.032
63,RUS,0 days 00:01:33.109000,0 days 00:01:32.633000,0 days 00:01:32.131000,6.0,2022,12,92.131
14,ALO,0 days 00:01:32.819000,0 days 00:01:32.631000,0 days 00:01:32.552000,7.0,2022,12,92.552
22,TSU,0 days 00:01:33.394000,0 days 00:01:32.836000,0 days 00:01:32.780000,8.0,2022,12,92.78
55,SAI,0 days 00:01:32.297000,0 days 00:01:31.081000,,9.0,2022,12,91.081
20,MAG,0 days 00:01:32.756000,0 days 00:01:32.649000,,10.0,2022,12,92.649
3,RIC,0 days 00:01:33.404000,0 days 00:01:32.922000,,11.0,2022,12,92.922
31,OCO,0 days 00:01:33.346000,0 days 00:01:33.048000,,12.0,2022,12,93.048
77,BOT,0 days 00:01:33.034000,0 days 00:01:33.052000,,13.0,2022,12,93.052
5,VET,0 days 00:01:33.285000,0 days 00:01:33.276000,,14.0,2022,12,93.276
23,ALB,0 days 00:01:33.423000,0 days 00:01:33.307000,,15.0,2022,12,93.307
10,GAS,0 days 00:01:33.439000,,,16.0,2022,12,93.439
18,STR,0 days 00:01:33.439000,,,17.0,2022,12,93.439
24,ZHO,0 days 00:01:33.674000,,,18.0,2022,12,93.674
47,MSC,0 days 00:01:33.701000,,,19.0,2022,12,93.701
6,LAT,0 days 00:01:33.794000,,,20.0,2022,12,93.794
63,RUS,0 days 00:01:18.407000,0 days 00:01:18.154000,0 days 00:01:17.377000,1.0,2022,13,77.377
55,SAI,0 days 00:01:18.434000,0 days 00:01:17.946000,0 days 00:01:17.421000,2.0,2022,13,77.421
16,LEC,0 days 00:01:18.806000,0 days 00:01:17.768000,0 days 00:01:17.567000,3.0,2022,13,77.567
4,NOR,0 days 00:01:18.653000,0 days 00:01:18.121000,0 days 00:01:17.769000,4.0,2022,13,77.769
31,OCO,0 days 00:01:18.866000,0 days 00:01:18.216000,0 days 00:01:18.018000,5.0,2022,13,78.018
14,ALO,0 days 00:01:18.716000,0 days 00:01:17.904000,0 days 00:01:18.078000,6.0,2022,13,78.078
44,HAM,0 days 00:01:18.374000,0 days 00:01:18.035000,0 days 00:01:18.142000,7.0,2022,13,78.142
77,BOT,0 days 00:01:18.935000,0 days 00:01:18.445000,0 days 00:01:18.157000,8.0,2022,13,78.157
3,RIC,0 days 00:01:18.775000,0 days 00:01:18.198000,0 days 00:01:18.379000,9.0,2022,13,78.379
1,VER,0 days 00:01:18.509000,0 days 00:01:17.703000,0 days 00:01:18.823000,10.0,2022,13,78.823
11,PER,0 days 00:01:19.118000,0 days 00:01:18.516000,,11.0,2022,13,78.516
24,ZHO,0 days 00:01:18.973000,0 days 00:01:18.573000,,12.0,2022,13,78.573
20,MAG,0 days 00:01:18.993000,0 days 00:01:18.825000,,13.0,2022,13,78.825
18,STR,0 days 00:01:19.205000,0 days 00:01:19.137000,,14.0,2022,13,79.137
47,MSC,0 days 00:01:19.164000,0 days 00:01:19.202000,,15.0,2022,13,79.202
22,TSU,0 days 00:01:19.240000,,,16.0,2022,13,79.24
23,ALB,0 days 00:01:19.256000,,,17.0,2022,13,79.256
5,VET,0 days 00:01:19.273000,,,18.0,2022,13,79.273
10,GAS,0 days 00:01:19.527000,,,19.0,2022,13,79.527
6,LAT,0 days 00:01:19.570000,,,20.0,2022,13,79.57
1,VER,0 days 00:01:44.581000,0 days 00:01:44.723000,0 days 00:01:43.665000,1.0,2022,14,103.665
55,SAI,0 days 00:01:45.050000,0 days 00:01:45.418000,0 days 00:01:44.297000,2.0,2022,14,104.297
11,PER,0 days 00:01:45.377000,0 days 00:01:44.794000,0 days 00:01:44.462000,3.0,2022,14,104.462
16,LEC,0 days 00:01:45.572000,0 days 00:01:44.551000,0 days 00:01:44.553000,4.0,2022,14,104.553
31,OCO,0 days 00:01:46.039000,0 days 00:01:45.475000,0 days 00:01:45.180000,5.0,2022,14,105.18
14,ALO,0 days 00:01:46.075000,0 days 00:01:45.552000,0 days 00:01:45.368000,6.0,2022,14,105.368
44,HAM,0 days 00:01:45.736000,0 days 00:01:45.420000,0 days 00:01:45.503000,7.0,2022,14,105.503
63,RUS,0 days 00:01:45.650000,0 days 00:01:45.461000,0 days 00:01:45.776000,8.0,2022,14,105.776
23,ALB,0 days 00:01:45.672000,0 days 00:01:45.675000,0 days 00:01:45.837000,9.0,2022,14,105.837
4,NOR,0 days 00:01:45.745000,0 days 00:01:45.603000,0 days 00:01:46.178000,10.0,2022,14,106.178
3,RIC,0 days 00:01:46.212000,0 days 00:01:45.767000,,11.0,2022,14,105.767
10,GAS,0 days 00:01:46.183000,0 days 00:01:45.827000,,12.0,2022,14,105.827
24,ZHO,0 days 00:01:46.178000,0 days 00:01:46.085000,,13.0,2022,14,106.085
18,STR,0 days 00:01:46.256000,0 days 00:01:46.611000,,14.0,2022,14,106.611
47,MSC,0 days 00:01:46.342000,0 days 00:01:47.718000,,15.0,2022,14,107.718
5,VET,0 days 00:01:46.344000,,,16.0,2022,14,106.344
6,LAT,0 days 00:01:46.401000,,,17.0,2022,14,106.401
20,MAG,0 days 00:01:46.557000,,,18.0,2022,14,106.557
22,TSU,0 days 00:01:46.692000,,,19.0,2022,14,106.692
77,BOT,0 days 00:01:47.866000,,,20.0,2022,14,107.866
1,VER,0 days 00:01:11.317000,0 days 00:01:10.927000,0 days 00:01:10.342000,1.0,2022,15,70.342
16,LEC,0 days 00:01:11.443000,0 days 00:01:10.988000,0 days 00:01:10.363000,2.0,2022,15,70.363
55,SAI,0 days 00:01:11.767000,0 days 00:01:10.814000,0 days 00:01:10.434000,3.0,2022,15,70.434
44,HAM,0 days 00:01:11.331000,0 days 00:01:11.075000,0 days 00:01:10.648000,4.0,2022,15,70.648
11,PER,0 days 00:01:11.641000,0 days 00:01:11.314000,0 days 00:01:11.077000,5.0,2022,15,71.077
63,RUS,0 days 00:01:11.561000,0 days 00:01:10.824000,0 days 00:01:11.147000,6.0,2022,15,71.147
4,NOR,0 days 00:01:11.556000,0 days 00:01:11.116000,0 days 00:01:11.174000,7.0,2022,15,71.174
47,MSC,0 days 00:01:11.741000,0 days 00:01:11.420000,0 days 00:01:11.442000,8.0,2022,15,71.442
22,TSU,0 days 00:01:11.427000,0 days 00:01:11.428000,0 days 00:01:12.556000,9.0,2022,15,72.556
18,STR,0 days 00:01:11.568000,0 days 00:01:11.416000,,10.0,2022,15,71.416
10,GAS,0 days 00:01:11.705000,0 days 00:01:11.512000,,11.0,2022,15,71.512
31,OCO,0 days 00:01:11.748000,0 days 00:01:11.605000,,12.0,2022,15,71.605
14,ALO,0 days 00:01:11.667000,0 days 00:01:11.613000,,13.0,2022,15,71.613
24,ZHO,0 days 00:01:11.826000,0 days 00:01:11.704000,,14.0,2022,15,71.704
23,ALB,0 days 00:01:11.695000,0 days 00:01:11.802000,,15.0,2022,15,71.802
77,BOT,0 days 00:01:11.961000,,,16.0,2022,15,71.961
3,RIC,0 days 00:01:12.081000,,,17.0,2022,15,72.081
20,MAG,0 days 00:01:12.319000,,,18.0,2022,15,72.319
5,VET,0 days 00:01:12.391000,,,19.0,2022,15,72.391
6,LAT,0 days 00:01:13.353000,,,20.0,2022,15,73.353
16,LEC,0 days 00:01:21.280000,0 days 00:01:21.208000,0 days 00:01:20.161000,1.0,2022,16,80.161
1,VER,0 days 00:01:20.922000,0 days 00:01:21.265000,0 days 00:01:20.306000,2.0,2022,16,80.306
55,SAI,0 days 00:01:21.348000,0 days 00:01:20.878000,0 days 00:01:20.429000,3.0,2022,16,80.429
11,PER,0 days 00:01:21.495000,0 days 00:01:21.358000,0 days 00:01:21.206000,4.0,2022,16,81.206
44,HAM,0 days 00:01:22.048000,0 days 00:01:21.708000,0 days 00:01:21.524000,5.0,2022,16,81.524
63,RUS,0 days 00:01:21.785000,0 days 00:01:21.747000,0 days 00:01:21.542000,6.0,2022,16,81.542
4,NOR,0 days 00:01:22.130000,0 days 00:01:21.831000,0 days 00:01:21.584000,7.0,2022,16,81.584
3,RIC,0 days 00:01:22.139000,0 days 00:01:21.855000,0 days 00:01:21.925000,8.0,2022,16,81.925
10,GAS,0 days 00:01:22.010000,0 days 00:01:22.062000,0 days 00:01:22.648000,9.0,2022,16,82.648
14,ALO,0 days 00:01:22.089000,0 days 00:01:21.861000,,10.0,2022,16,81.861
31,OCO,0 days 00:01:22.166000,0 days 00:01:22.130000,,11.0,2022,16,82.13
77,BOT,0 days 00:01:22.254000,0 days 00:01:22.235000,,12.0,2022,16,82.235
45,DEV,0 days 00:01:22.567000,0 days 00:01:22.471000,,13.0,2022,16,82.471
24,ZHO,0 days 00:01:22.003000,0 days 00:01:22.577000,,14.0,2022,16,82.577
22,TSU,0 days 00:01:22.020000,,,15.0,2022,16,82.02
6,LAT,0 days 00:01:22.587000,,,16.0,2022,16,82.587
5,VET,0 days 00:01:22.636000,,,17.0,2022,16,82.636
18,STR,0 days 00:01:22.748000,,,18.0,2022,16,82.748
20,MAG,0 days 00:01:22.908000,,,19.0,2022,16,82.908
47,MSC,0 days 00:01:23.005000,,,20.0,2022,16,83.005
